,0,1,2,3,4,5,6,7,8,9,10,11,join_selectivity
0,24426,2.91e-06,0.00147,0.00198,1.733,1.656,12867,1.71e-06,0.00115,0.00149,1.654,1.483,0.9998380441421396
1,24426,2.91e-06,0.00147,0.00198,1.733,1.656,18426,1.66e-06,0.00159,0.00104,1.783,1.482,0.999851633114234
2,12867,1.71e-06,0.00115,0.00149,1.654,1.483,18426,1.66e-06,0.00159,0.00104,1.783,1.482,0.9997899972238923
3,24426,2.91e-06,0.00147,0.00198,1.733,1.656,28371,3.15e-06,0.0016,0.00198,1.741,1.564,0.9998271259440283
4,12867,1.71e-06,0.00115,0.00149,1.654,1.483,28371,3.15e-06,0.0016,0.00198,1.741,1.564,0.9997530034660462
5,18426,1.66e-06,0.00159,0.00104,1.783,1.482,28371,3.15e-06,0.0016,0.00198,1.741,1.564,0.9997735441048293
6,24426,2.91e-06,0.00147,0.00198,1.733,1.656,13541,1.98e-06,0.00133,0.00149,1.723,1.714,0.9999148245201595
7,12867,1.71e-06,0.00115,0.00149,1.654,1.483,13541,1.98e-06,0.00133,0.00149,1.723,1.714,0.9998909442876488
8,18426,1.66e-06,0.00159,0.00104,1.783,1.482,13541,1.98e-06,0.00133,0.00149,1.723,1.714,0.9999001468763539
9,28371,3.15e-06,0.0016,0.00198,1.741,1.564,13541,1.98e-06,0.00133,0.00149,1.723,1.714,0.999879723054361
10,24426,2.91e-06,0.00147,0.00198,1.733,1.656,18763,2.35e-06,0.00173,0.00135,1.7380000000000002,1.5,0.999826718029663
11,12867,1.71e-06,0.00115,0.00149,1.654,1.483,18763,2.35e-06,0.00173,0.00135,1.7380000000000002,1.5,0.9997501983247109
12,18426,1.66e-06,0.00159,0.00104,1.783,1.482,18763,2.35e-06,0.00173,0.00135,1.7380000000000002,1.5,0.9997688349732138
13,28371,3.15e-06,0.0016,0.00198,1.741,1.564,18763,2.35e-06,0.00173,0.00135,1.7380000000000002,1.5,0.9997382952502784
14,13541,1.98e-06,0.00133,0.00149,1.723,1.714,18763,2.35e-06,0.00173,0.00135,1.7380000000000002,1.5,0.9998825716319047
15,24426,2.91e-06,0.00147,0.00198,1.733,1.656,29144,1.33e-06,0.00115,0.00116,1.699,1.5659999999999998,0.9998707744021791
16,12867,1.71e-06,0.00115,0.00149,1.654,1.483,29144,1.33e-06,0.00115,0.00116,1.699,1.5659999999999998,0.9998174539788505
17,18426,1.66e-06,0.00159,0.00104,1.783,1.482,29144,1.33e-06,0.00115,0.00116,1.699,1.5659999999999998,0.9998327825475698
18,28371,3.15e-06,0.0016,0.00198,1.741,1.564,29144,1.33e-06,0.00115,0.00116,1.699,1.5659999999999998,0.9998035132181045
19,13541,1.98e-06,0.00133,0.00149,1.723,1.714,29144,1.33e-06,0.00115,0.00116,1.699,1.5659999999999998,0.9999118029174336
