dataset1,dataset2,bnlj_result_size,bnlj_mbr_tests,bnlj_duration,pbsm_result_size,pbsm_mbr_tests,pbsm_duration,dj_result_size,dj_mbr_tests,dj_duration,repj_result_size,repj_mbr_tests,repj_mbr_tests_join,repj_mbr_tests_index,repj_duration,1st,2nd,3rd,4th
OSM2015_lakes_data_big_05.csv,OSM2015_buildings_data_big_02.csv,7024734,2888385411,122.966433278,7024734,148557930,85.05289604,7024734,1310193915,17.558473565,7024538,2570607399,1920094158,650513241,142.558800646,dj,pbsm,bnlj,repj
OSM2015_lakes_data_big_06.csv,OSM2015_buildings_data_big_02.csv,0,2007362731,-1,30800404,161248568,31.117992715,30800404,1709576915,11.228408219,0,5741319866,2612660945,3128658921,-1,dj,pbsm,bnlj,repj
OSM2015_parks_data_big_02.csv,OSM2015_buildings_data_big_02.csv,0,5026646906,-1,12337216,440093876,19.40494148,12337216,2755769614,5.999572852,0,3832012566,3171173718,660838848,-1,dj,pbsm,bnlj,repj
OSM2015_roads_data_big_01.csv,OSM2015_buildings_data_big_02.csv,0,1565464527,-1,76401,55863782,14.408331355,76401,343168767,4.437172048,0,541367294,231599084,309768210,-1,dj,pbsm,bnlj,repj
OSM2015_roads_data_big_02.csv,OSM2015_buildings_data_big_02.csv,0,2057041311,-1,2142533,1134997068,34.291656138,2142533,7430080450,28.356868066,0,7503605212,4137457330,3366147882,-1,dj,pbsm,bnlj,repj
TIGER2017_LINEARWATER_data_big_17.csv,OSM2015_buildings_data_big_02.csv,0,251638318,-1,24692,40880355,19.586326301,24692,983273617,14.892537807,0,1969451093,348330794,1621120299,-1,dj,pbsm,bnlj,repj
TIGER2017_LINEARWATER_data_big_18.csv,OSM2015_buildings_data_big_02.csv,0,248382161,-1,3169,2297549,15.163623617,3169,313896578,7.559657287,0,2063047468,328345492,1734701976,-1,dj,pbsm,bnlj,repj
TIGER2017_LINEARWATER_data_big_22.csv,OSM2015_buildings_data_big_02.csv,0,1135355645,-1,26537,72285686,20.315055468,26537,1906699597,14.23387859,0,2074796905,1506888520,567908385,-1,dj,pbsm,bnlj,repj
TIGER2017_LINEARWATER_data_big_23.csv,OSM2015_buildings_data_big_02.csv,0,731346043,-1,7252,15084759,14.183339082,7252,931037872,6.376892526,0,2130799214,1201494584,929304630,-1,dj,pbsm,bnlj,repj
TIGER2018_EDGES_data_big_02.csv,OSM2015_buildings_data_big_02.csv,0,77580241,-1,14321,4439023,7.744141546,14321,177790649,5.650932941,0,281284718,33470150,247814568,-1,dj,pbsm,bnlj,repj
